date,nifty50,nifty100,niftyit,niftybank,niftyenergy
2021-07-14,0.0026308921169333477,0.0022360043535238905,0.031649350271187426,-0.0001443231507035625,-0.00234278000113175
2021-07-15,0.004431072328003882,0.004269346879563818,0.012890358229857846,0.006711776169136874,-0.004519904224125737
2021-07-16,-5.0225736783704455e-05,0.0007332588230211101,-0.010693863591164976,-0.004340177395068978,0.006760496520721304
2021-07-19,-0.010738912280361723,-0.010212027297531012,-0.0046343143340618065,-0.01881308144188021,-0.0025858476568718647
2021-07-20,-0.0076369809214345,-0.007537398726843003,-0.0003929743028977528,-0.01892146597208455,-0.010623987651981026
2021-07-22,0.012279233123449584,0.013093083641513958,0.018030910819587964,0.007608521571401017,0.015023424412649922
2021-07-23,0.002022238326785386,0.0015440054289574956,0.00383988440208638,0.010297741899945478,-0.004910701562675368
2021-07-26,-0.0019929055322251976,-0.0015447149447490593,0.0015420868918236685,-0.0024176296636904127,-0.010444178248109948
2021-07-27,-0.004929081202650898,-0.005166481690044966,-0.0015981619734779517,-0.004356311303239657,-0.00953099841311944
2021-07-28,-0.002352898858342667,-0.0016956673293559987,0.0020607010029281003,-0.007602567702019392,-0.005461371065389797
2021-07-29,0.004395444954646832,0.0038350967654587897,0.013929622257975671,0.0045928206889367384,-0.0019146259878759508
2021-07-30,-0.000976039499086867,-0.00031472369468943384,0.003577391533731822,-0.0030886436215342705,-0.0021711968210401666
2021-08-02,0.007746000136419795,0.007905150612653289,0.010597095205585827,0.0036331431296423577,0.015580313555873415
2021-08-03,0.015460955882416139,0.014412057971518788,0.011778016103062061,0.014331523262714363,0.008120503893980224
2021-08-04,0.007938242467802281,0.005768405818710853,-0.0060546791156059765,0.023307661531640544,0.0010264704027314053
2021-08-05,0.0022018725316477195,0.0015731994823100504,0.007555531260093895,-0.0053653478222119855,0.0014042628314616667
2021-08-06,-0.003461233501561467,-0.002660283814049258,0.002950913928506438,-0.0007116080740046105,-0.0010625751426164287
2021-08-09,0.0012347307242392969,0.00041868213751694583,0.00439887217364876,0.006135336068997521,-0.007163208752085981
2021-08-10,0.0013439090538649445,0.0006309596060252165,0.00866385899382971,0.00014300732145433592,-0.007108482183393661
2021-08-11,0.00013208706805212245,-0.00022427867584640104,-0.0013685189885166427,-0.006319174236172009,0.013848425068262227
2021-08-12,0.005045395484346349,0.004799858627729581,0.018159128808809655,0.003648897252346739,0.01022129460201282
2021-08-13,0.010064482340847336,0.008862752346265435,0.01345014210310902,0.0064640690242743215,0.003979784575823597
